creider_primary,creider_secondary,gloss,pos,number,source_page,notes
ínk-wá:,ínk-wà:t,clothing,n,sg,46,
íntár-ó:y,íntár-ô:k,snakes,n,pl,49,
ka:-pat-í:n,ka:-pat-í:n-tèt,farmer,n,sg,45,
karat-i,karat-í:k,blood,n,pl,51,
kár-în,kár-í:k,weapons,n,pl,51,
kas-ì:n,kas-í:n-tèt,listener,n,sg,45,
ka:-sup-í:n,ka:-sup-í:n-tèt,follower,n,sg,45,
kà:yn-a,kà:yn-é:t,name,n,sg,44,
ká:yn-ây,ká:yn-áî:k,names,n,pl,50,
ké:ly-ên,kè:ly-ék,"legs, feet",n,pl,52,
kéríc-á:,kéríc-à:t,medicine,n,sg,46,
kímít-yá:,kímít-yà:t,flea,n,sg,46,
kírûk,kírk-ít,bull,n,sg,48,
kí:wâ:t-o:s-ya,kí:wâ:t-o:syèk,boundaries,n,pl,49,
kó-în,kó-ík,stones,n,pl,51,
kò:kw-a:tinwa,kò:kw-a:tinwê:k,districts,n,pl,50,
kòy,koy-tà,stone,n,sg,47,
kó:y,kó:y-tà,liver,n,sg,47,
kò:y-wà:k,kò:y-wá:kîk,livers,n,pl,51,
kú:ngût,kù:nt-ít,handle,n,sg,48,
kù:s,kù:s-tà,thigh,n,sg,47,
kwà:ny,kwa:n-tà,woman,n,sg,47,"Creider's form; user reports kwony/kwoony in Mogobich/Uasin-Gishu variety; cf. kwany 'make ugali', kwaany 'vex'"
kwe:n-tà,kwe:n-tê:t,firewood,n,sg,44,
kwé:s-i:n,kwé:s-i:ník,pipes,n,pl,50,
kwé:s-i:s-ya,kwé:s-i:syèk,pipes,n,pl,49,
kwè:s-wa,kwè:s-wék,billy-goats,n,pl,50,
kwé:t-wây,kwé:t-wêk,buttocks,n,pl,52,
kwe:t-yá:,kwe:t-yâ:t,buttock,n,sg,45,
kwe-yá:,kwe-yâ:t,shoe,n,sg,45,
la:k-ó:y,la:k-ô:k,children,n,pl,49,
lì:m-o:s-ya,lì:m-o:syèk,cattle grazing grounds,n,pl,49,
lókó-yá:,lókó-yà:t,fruit,n,sg,46,
lùk,lúk-ê:t,"raid, war",n,sg,44,
mà:,má:-ê:t,stomach,n,sg,44,
máy-yô,máy-yê:k,beer,n,pl,52,
mè:nkîc,mè:nk-ít,ram,n,sg,48,
meste-wá:,meste-wâ:t,herdsboy,n,sg,45,
mò:k,mò:k-tà,throat,n,sg,47,
mókó:mp-ây,mókó:mp-áî:k,hoes,n,pl,50,
mò:k-wa,mò:k-wék,throats,n,pl,50,
mo:-ó:y,mo:-ô:k,wounds,n,pl,49,
mò:t-ó:y,mò:t-ô:k,quivers,n,pl,49,
mò:y,mó:y-tâ,calf,n,sg,47,
múkâ:nt-e,múkâ:nt-é:k,beans,n,pl,51,
mukat-i:n,mukat-i:ník,bread loaves,n,pl,50,
myan-wà:k,myan-wá:kîk,illnesses,n,pl,51,
ná:ntí-í:n,ná:ntí-i:n-tèt,Nandi person,n,sg,45,
ngal-yà:,ngal-yâ:t,word,n,sg,46,
ngélyêp,ngélyep-tà,tongue,n,sg,47,
ngè:ny,nge:m-tà,salt-lick,n,sg,47,
ngé:t,nge:t-î:k,boys,n,pl,52,
nò,ne:-kà,sheep or goats,n,pl,52,
òl,ol-tà,place,n,sg,47,
ò:rka:y-yà:,ò:rka:y-yâ:t,prophet,n,sg,46,
pai:sy-o:s-ya,pai:sy-o:syèk,works,n,pl,49,
pa:nt-e,pa:nt-é:k,maize,n,pl,51,
pe:l,pe:l-é:k,elephants,n,pl,51,
pe:l-yá:,pe:l-yâ:t,elephant,n,sg,45,
pé:n,pe:n-tà,meat,n,sg,46,
pe:r-tà,pe:r-tê:t,bark,n,sg,44,
po:l-tà,po:l-tê:t,cloud,n,sg,44,
pò:p,pó:p-ê:k,mushrooms,n,pl,52,
pó:r,po:r-tà,body,n,sg,46,
po:r-wà,po:r-wèk,bodies,n,pl,50,
pò:s,pò:s-tà,baldness,n,sg,47,
pu:n-yá:,pu:n-yâ:t,enemy,n,sg,45,
púsy-ô,púsy-ê:k,flour,n,pl,52,
ró:p-wâ,ró:p-wêk,rains,n,pl,50,
ró:t-ô:n,ró:t-ó:nîk,knives,n,pl,50,
ru:nk-u:s-ya,ru:nk-u:syèk,clubs,n,pl,49,
sa:-a,sa:-é:t,buffalo,n,sg,43,
sàk,sák-ê:k,leaves,n,pl,52,
sekem-yá:,sekem-yâ:t,bee,n,sg,45,
sólop-cà:,sólop-câ:t,cockroach,n,sg,46,
so:l-yà:,so:l-yâ:t,reed,n,sg,46,
sonóy,sono-ê:k,beads,n,pl,52,
súpê:n,súpe:n-tà,female animal,n,sg,47,
sú:wá:n-û:t,sú:wá:n-ú:tîk,waists,n,pl,51,
tà:pt-ó:y,tà:pt-ô:k,flowers,n,pl,49,
tà:y,tà:y-tà,front,n,sg,47,
ta:yw-ó:y,ta:yw-ô:k,francolins,n,pl,49,
tér-ê:n,tér-é:nîk,pots,n,pl,50,
tílyó:n-û:t,tílyó:n-ú:tîk,relationships,n,pl,51,
tò:r-ó:y,tò:r-ô:k,wild pigs,n,pl,49,
tùc,tu:-kà,cattle,n,pl,52,
tù:m,tu:m-tà,ceremony,n,sg,46,
twá:l-în,twà:l-í:k,bells,n,pl,52,
twà:l-yá:,twà:l-yâ:t,bell,n,sg,46,
tyà:ny,tyá:n-tâ,animal,n,sg,47,
tyên,tyên-tà,song,n,sg,47,
tyén-wà:k,tyén-wá:kîk,songs,n,pl,51,
akè:nke,,one,num,,64,
là,,six,num,,64,
pákal,,hundred,num,,65,
à:ca,,no,part,,73,also à:cica
wè:y,,yes,part,,73,
a:p,,of,prep,,69,
ícê:k,íce:k,"they, them (3pl)",pron,,57,
ke:-am-í:s,,to eat,v,,92,
ke:-cám,,"to like, love",v,,88,
ke:-cam-tá,,to allow to have,v,,88,
ke:-cáp,,"to prepare, repair",v,,91,
ke:-cap-ák,,to get ready,v,,91,
ke:-kás,,"to listen, hear",v,,76,
ke:-kú:r,,to call,v,,93,
ke:-ku:r-sá,,to call (intransitive),v,,93,
ke:-mwá,,to say,v,,129,
ke:-náp,,to sew,v,,91,
ke:-náy,,to know,v,,129,
ke:-pa,,to go,v,,112,
ke:-pál,,to dig,v,,86,
ke:-pal,,to dig up (ventive),v,,86,
ke:-pír,,"to beat, hit",v,,127,
ke:-pwa,,to come,v,,112,
ke:-rí:p,,"to watch, guard",v,,161,
ke:-tíny,,to have,v,,102,
ke:-u,,to be like,v,,69,
ke:-yan-tà,,to agree (to another),v,,88,
ke:yá:t,,to open,v,,78,
ki:-là:ny,,to climb,v,,31,
ki:-má:ng,,to get (it) out,v,,86,
ki:-mâ:ng,,to hope,v,,129,
ki:-ném,,"to take away, subtract",v,,86,
ki:-nkên,,to know,v,,129,
ki:-pât,,"to cultivate, plough",v,,33,
ki:-pû:s,,to breathe,v,,54,
ki:-pwâ:t,,"to think, remember",v,,13,
ki:-sûp,,to follow,v,,33,
ki:-yân,,to believe,v,,88,
amú,,why,wh,,142,
áno,,where,wh,,143,
au,,when,wh,,142,
ínkorcó,,which (pl),wh,,142,
ínkoró,,which (sg),wh,,142,
inkorô,,where,wh,,143,
nè:,,what,wh,,142,
ngà:,,who (non-subject),wh,,142,
nga:,,who (subject),wh,,142,
